source;record_sequence_number_NGA;event_id;ev_depth_km;Mw;M;epi_lat;epi_lon;network_code;station_code;sensor_depth_m;proximity_code;GMX_first;ec8_code;vs30_m_sec;epi_dist;rotD50_pga;rotD50_T0_010;rotD50_T0_025;rotD50_T0_040;rotD50_T0_050;rotD50_T0_070;rotD50_T0_100;rotD50_T0_150;rotD50_T0_200;rotD50_T0_250;rotD50_T0_300;rotD50_T0_350;rotD50_T0_400;rotD50_T0_450;rotD50_T0_500;rotD50_T0_600;rotD50_T0_700;rotD50_T0_750;rotD50_T0_800;rotD50_T0_900;rotD50_T1_000;rotD50_T1_200;rotD50_T1_400;rotD50_T1_600;rotD50_T1_800;rotD50_T2_000;rotD50_T2_500;rotD50_T3_000;rotD50_T3_500;rotD50_T4_000;rotD50_T5_000;rotD50_T6_000;rotD50_T7_000;rotD50_T8_000;rotD50_T9_000;rotD50_T10_000
NGA-West2;255;62;6;;4.73;37.595;-118.791;;34;;;A;;323.54;9.55;2.99E-02;3.00E-02;3.00E-02;3.54E-02;5.69E-02;1.18E-01;1.06E-01;1.03E-01;1.50E-01;1.16E-01;1.14E-01;1.33E-01;1.72E-01;1.13E-01;1.36E-01;1.47E-01;1.96E-01;1.65E-01;1.50E-01;1.93E-01;1.02E-01;5.95E-02;3.72E-02;1.89E-02;1.46E-02;9.39E-03;6.78E-03;3.42E-03;1.86E-03;1.18E-03;6.71E-04;5.00E-04;3.78E-04;2.97E-04;2.33E-04;1.78E-04
NGA-West2;256;62;6;;4.73;37.595;-118.791;;37;;;A;;364.84;1.33;2.18E-01;2.19E-01;2.19E-01;3.31E-01;4.29E-01;7.40E-01;9.41E-01;1.29E+00;5.93E-01;3.91E-01;3.60E-01;2.43E-01;2.60E-01;2.38E-01;1.85E-01;1.28E-01;9.91E-02;8.98E-02;8.56E-02;8.03E-02;5.17E-02;3.16E-02;1.93E-02;1.40E-02;1.05E-02;9.19E-03;5.88E-03;3.33E-03;2.34E-03;1.82E-03;1.18E-03;8.28E-04;6.11E-04;4.70E-04;3.72E-04;3.02E-04
NGA-West2;257;63;6;;4.8;37.595;-118.785;;41;;;I;;337.6;9.99;1.17E-01;1.17E-01;1.17E-01;2.11E-01;1.64E-01;3.09E-01;4.81E-01;3.25E-01;5.07E-01;5.33E-01;5.25E-01;4.06E-01;3.01E-01;1.84E-01;1.29E-01;8.21E-02;9.21E-02;5.70E-02;5.22E-02;4.62E-02;4.63E-02;1.60E-02;1.22E-02;1.39E-02;8.58E-03;7.57E-03;5.55E-03;2.92E-03;1.92E-03;1.16E-03;7.39E-04;4.70E-04;3.25E-04;2.46E-04;1.93E-04;1.63E-04
NGA-West2;258;63;6;;4.8;37.595;-118.785;;42;;;I;;472.2;6.02;2.04E-01;2.05E-01;2.05E-01;6.73E-01;4.63E-01;8.33E-01;9.30E-01;4.94E-01;4.22E-01;3.61E-01;5.11E-01;2.52E-01;3.04E-01;2.23E-01;1.75E-01;3.08E-01;1.39E-01;1.20E-01;1.11E-01;8.97E-02;6.29E-02;2.94E-02;1.50E-02;9.73E-03;6.91E-03;5.29E-03;3.05E-03;2.00E-03;1.42E-03;1.07E-03;6.73E-04;4.64E-04;3.39E-04;2.59E-04;2.04E-04;1.65E-04
NGA-West2;259;63;6;;4.8;37.595;-118.785;;43;;;I;;373.18;4.5;2.20E-01;2.22E-01;2.22E-01;3.07E-01;3.54E-01;6.83E-01;1.17E+00;6.49E-01;9.01E-01;5.43E-01;3.64E-01;3.07E-01;3.46E-01;3.60E-01;3.32E-01;2.71E-01;1.77E-01;1.62E-01;1.45E-01;1.62E-01;1.23E-01;6.75E-02;4.45E-02;2.69E-02;1.96E-02;1.44E-02;7.73E-03;5.48E-03;4.00E-03;3.01E-03;1.86E-03;1.25E-03;8.96E-04;6.74E-04;5.26E-04;4.21E-04
NGA-West2;260;63;6;;4.8;37.595;-118.785;;44;;;I;;295.93;7.76;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02
NGA-West2;261;63;6;;4.8;37.595;-118.785;;35;;;A;;377.41;4.18;2.34E-02;2.34E-02;2.34E-02;2.85E-02;4.79E-02;6.70E-02;8.73E-02;5.74E-02;7.57E-02;1.02E-01;7.97E-02;9.25E-02;1.04E-01;8.25E-02;7.30E-02;5.12E-02;2.47E-02;4.69E-02;2.55E-02;3.08E-02;1.73E-02;1.78E-02;1.13E-02;9.79E-03;6.70E-03;6.03E-03;3.89E-03;2.00E-03;1.29E-03;9.38E-04;5.25E-04;4.30E-04;3.54E-04;2.49E-04;1.89E-04;1.36E-04
NGA-West2;262;63;6;;4.8;37.595;-118.785;;36;;;A;;350.54;8.44;9.52E-02;9.53E-02;9.53E-02;1.10E-01;1.26E-01;1.40E-01;3.44E-01;3.39E-01;5.03E-01;3.03E-01;2.59E-01;3.41E-01;3.28E-01;2.39E-01;2.01E-01;1.18E-01;1.05E-01;8.46E-02;7.93E-02;5.98E-02;6.47E-02;4.64E-02;2.63E-02;1.71E-02;2.09E-02;1.88E-02;9.31E-03;5.22E-03;2.92E-03;2.16E-03;1.33E-03;9.01E-04;6.51E-04;4.93E-04;3.86E-04;3.11E-04
NGA-West2;263;63;6;;4.8;37.595;-118.785;;40;;;A;;454.12;5.73;1.39E-01;1.40E-01;1.40E-01;1.68E-01;2.11E-01;3.24E-01;4.77E-01;5.00E-01;6.63E-01;4.63E-01;2.12E-01;1.69E-01;1.44E-01;2.46E-01;1.97E-01;1.74E-01;1.05E-01;8.79E-02;7.02E-02;6.70E-02;4.44E-02;2.38E-02;1.32E-02;8.06E-03;5.78E-03;4.55E-03;2.74E-03;1.84E-03;1.31E-03;9.86E-04;6.15E-04;4.20E-04;3.05E-04;2.32E-04;1.83E-04;1.48E-04
NGA-West2;264;63;6;;4.8;37.595;-118.785;;37;;;A;;364.84;1.06;2.50E-01;2.50E-01;2.50E-01;2.98E-01;3.60E-01;4.52E-01;1.15E+00;1.64E+00;1.03E+00;4.64E-01;2.59E-01;1.53E-01;1.43E-01;1.09E-01;1.35E-01;6.79E-02;4.84E-02;4.29E-02;4.37E-02;3.38E-02;1.67E-02;1.26E-02;1.13E-02;8.69E-03;5.49E-03;3.96E-03;2.08E-03;1.58E-03;1.06E-03;7.97E-04;5.08E-04;3.50E-04;2.57E-04;1.96E-04;1.55E-04;1.25E-04
