
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-10-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 7	9	14	15	29	40	41	47	51	56	59	67	69	70	76	77	78	80	85	86	87	88	90	107	108	109	110	111	112	113	114	115	116	117	118	119	120	123	138	160	162	163	166	168	172	173	174	177	178	182	185	186	189	190	192	251	252	253	254	255	256	257	258	259	260	261	262	263	264	267	270	271	272	273	274	275	276	277	278	281	282	283	284	285	286	287	288	290	291	292	293	294
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
73, SRSS, 278, -, 1.0, -, 1.8, 6.1, 0.1, "Mammoth Lakes-09", 1980, "USC McGee Creek", 4.85, strike slip, 6.68, 9.18, 653.56, 1.25, 1.0, RSN278_MAMMOTH.AH_H-XMC117.AT2, RSN278_MAMMOTH.AH_H-XMC207.AT2 , RSN278_MAMMOTH.AH_H-XMC-UP.AT2  
74, SRSS, 281, -, 1.0, -, 8.8, 12.3, 0.4, "Trinidad", 1980, "Rio Dell Overpass_ E Ground", 7.2, strike slip, 76.06, 76.26, 311.75, 0.125, 1.0, RSN281_TRINIDAD.B_B-RDE000.AT2, RSN281_TRINIDAD.B_B-RDE270.AT2 , RSN281_TRINIDAD.B_B-RDE-UP.AT2  
75, SRSS, 282, -, 1.0, -, 7.1, 10.8, 0.4, "Trinidad", 1980, "Rio Dell Overpass_ W Ground", 7.2, strike slip, 76.06, 76.26, 311.75, 0.1375, 1.0, RSN282_TRINIDAD.B_B-RDW000.AT2, RSN282_TRINIDAD.B_B-RDW270.AT2 , RSN282_TRINIDAD.B_B-RDW-UP.AT2  
76, SRSS, 283, -, 1.0, -, 11.0, 16.3, 0.0, "Irpinia_ Italy-01", 1980, "Arienzo", 6.9, Normal, 52.93, 52.94, 612.78, 0.5, 1.0, RSN283_ITALY_A-ARI000.AT2, RSN283_ITALY_A-ARI270.AT2 , RSN283_ITALY_A-ARI-UP.AT2  
77, SRSS, 284, -, 1.0, -, 13.0, 19.3, 0.1, "Irpinia_ Italy-01", 1980, "Auletta", 6.9, Normal, 9.52, 9.55, 476.62, 0.5, 1.0, RSN284_ITALY_A-AUL000.AT2, RSN284_ITALY_A-AUL270.AT2 , RSN284_ITALY_A-AUL-UP.AT2  
78, SRSS, 285, -, 1.0, 1.71332, 5.2, 19.6, 0.4, "Irpinia_ Italy-01", 1980, "Bagnoli Irpinio", 6.9, Normal, 8.14, 8.18, 649.67, 0.1125, 1.0, RSN285_ITALY_A-BAG000.AT2, RSN285_ITALY_A-BAG270.AT2 , RSN285_ITALY_A-BAG-UP.AT2  
79, SRSS, 286, -, 1.0, -, 16.8, 27.0, 0.2, "Irpinia_ Italy-01", 1980, "Bisaccia", 6.9, Normal, 17.51, 21.26, 496.46, 0.15, 1.0, RSN286_ITALY_A-BIS000.AT2, RSN286_ITALY_A-BIS270.AT2 , RSN286_ITALY_A-BIS-UP.AT2  
80, SRSS, 287, -, 1.0, -, 15.4, 27.8, 0.0, "Irpinia_ Italy-01", 1980, "Bovino", 6.9, Normal, 44.62, 46.25, 356.39, 0.625, 1.0, RSN287_ITALY_A-BOV000.AT2, RSN287_ITALY_A-BOV270.AT2 , RSN287_ITALY_A-BOV-UP.AT2  
81, SRSS, 288, -, 1.0, -, 5.7, 13.2, 0.5, "Irpinia_ Italy-01", 1980, "Brienza", 6.9, Normal, 22.54, 22.56, 561.04, 0.2875, 1.0, RSN288_ITALY_A-BRZ000.AT2, RSN288_ITALY_A-BRZ270.AT2 , RSN288_ITALY_A-BRZ-UP.AT2  
82, SRSS, 290, -, 1.0, -, 14.3, 26.7, 0.5, "Irpinia_ Italy-01", 1980, "Mercato San Severino", 6.9, Normal, 29.79, 29.8, 428.57, 0.625, 1.0, RSN290_ITALY_A-MER000.AT2, RSN290_ITALY_A-MER270.AT2 , RSN290_ITALY_A-MER-UP.AT2  
83, SRSS, 291, -, 1.0, -, 18.4, 24.9, 0.3, "Irpinia_ Italy-01", 1980, "Rionero In Vulture", 6.9, Normal, 27.49, 30.07, 574.88, 0.375, 1.0, RSN291_ITALY_A-VLT000.AT2, RSN291_ITALY_A-VLT270.AT2 , RSN291_ITALY_A-VLT-UP.AT2  
84, SRSS, 292, -, 1.0, 3.27264, 7.0, 15.2, 1.4, "Irpinia_ Italy-01", 1980, "Sturno (STN)", 6.9, Normal, 6.78, 10.84, 382.0, 0.125, 1.0, RSN292_ITALY_A-STU000.AT2, RSN292_ITALY_A-STU270.AT2 , RSN292_ITALY_A-STU-UP.AT2  
85, SRSS, 293, -, 1.0, -, 18.1, 32.8, 0.1, "Irpinia_ Italy-01", 1980, "Torre Del Greco", 6.9, Normal, 59.63, 59.63, 593.35, 0.375, 1.0, RSN293_ITALY_A-TDG000.AT2, RSN293_ITALY_A-TDG270.AT2 , RSN293_ITALY_A-TDG-UP.AT2  
86, SRSS, 294, -, 1.0, -, 16.8, 22.9, 0.0, "Irpinia_ Italy-01", 1980, "Tricarico", 6.9, Normal, 51.74, 53.16, 496.46, 0.15, 1.0, RSN294_ITALY_A-TRC000.AT2, RSN294_ITALY_A-TRC270.AT2 , RSN294_ITALY_A-TRC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-7 SRSS pSa (g),RSN-9 SRSS pSa (g),RSN-14 SRSS pSa (g),RSN-15 SRSS pSa (g),RSN-40 SRSS pSa (g),RSN-41 SRSS pSa (g),RSN-47 SRSS pSa (g),RSN-51 SRSS pSa (g),RSN-56 SRSS pSa (g),RSN-59 SRSS pSa (g),RSN-67 SRSS pSa (g),RSN-69 SRSS pSa (g),RSN-70 SRSS pSa (g),RSN-76 SRSS pSa (g),RSN-77 SRSS pSa (g),RSN-78 SRSS pSa (g),RSN-80 SRSS pSa (g),RSN-85 SRSS pSa (g),RSN-86 SRSS pSa (g),RSN-87 SRSS pSa (g),RSN-88 SRSS pSa (g),RSN-90 SRSS pSa (g),RSN-107 SRSS pSa (g),RSN-108 SRSS pSa (g),RSN-109 SRSS pSa (g),RSN-110 SRSS pSa (g),RSN-111 SRSS pSa (g),RSN-112 SRSS pSa (g),RSN-113 SRSS pSa (g),RSN-114 SRSS pSa (g),RSN-115 SRSS pSa (g),RSN-116 SRSS pSa (g),RSN-117 SRSS pSa (g),RSN-118 SRSS pSa (g),RSN-119 SRSS pSa (g),RSN-120 SRSS pSa (g),RSN-123 SRSS pSa (g),RSN-138 SRSS pSa (g),RSN-160 SRSS pSa (g),RSN-162 SRSS pSa (g),RSN-163 SRSS pSa (g),RSN-166 SRSS pSa (g),RSN-172 SRSS pSa (g),RSN-173 SRSS pSa (g),RSN-174 SRSS pSa (g),RSN-178 SRSS pSa (g),RSN-182 SRSS pSa (g),RSN-185 SRSS pSa (g),RSN-186 SRSS pSa (g),RSN-190 SRSS pSa (g),RSN-192 SRSS pSa (g),RSN-251 SRSS pSa (g),RSN-252 SRSS pSa (g),RSN-253 SRSS pSa (g),RSN-254 SRSS pSa (g),RSN-255 SRSS pSa (g),RSN-256 SRSS pSa (g),RSN-257 SRSS pSa (g),RSN-258 SRSS pSa (g),RSN-259 SRSS pSa (g),RSN-261 SRSS pSa (g),RSN-262 SRSS pSa (g),RSN-263 SRSS pSa (g),RSN-264 SRSS pSa (g),RSN-270 SRSS pSa (g),RSN-271 SRSS pSa (g),RSN-272 SRSS pSa (g),RSN-273 SRSS pSa (g),RSN-274 SRSS pSa (g),RSN-275 SRSS pSa (g),RSN-276 SRSS pSa (g),RSN-277 SRSS pSa (g),RSN-278 SRSS pSa (g),RSN-281 SRSS pSa (g),RSN-282 SRSS pSa (g),RSN-283 SRSS pSa (g),RSN-284 SRSS pSa (g),RSN-285 SRSS pSa (g),RSN-286 SRSS pSa (g),RSN-287 SRSS pSa (g),RSN-288 SRSS pSa (g),RSN-290 SRSS pSa (g),RSN-291 SRSS pSa (g),RSN-292 SRSS pSa (g),RSN-293 SRSS pSa (g),RSN-294 SRSS pSa (g)
0.01,0.181963,0.62731575,0.05278129,0.07493114,0.08025261,0.16046622,0.24246551,0.06280106,0.03227068,0.01295902,0.04889673,0.10076352,0.02536015,0.01131374,0.04099106,0.19027353,0.013029,1.76481926,0.19137627,0.22875787,0.05557694,0.02061638,0.27424478,0.22013528,0.02485841,0.04203452,0.04351036,0.0946816,0.03387527,0.08358748,0.19845766,0.25184767,0.10449839,0.21020511,0.17436962,0.08557312,0.09005081,0.12914544,0.16603214,0.08515868,0.13659387,0.98515469,0.34396854,0.15119506,0.17277207,0.19683866,0.28959278,0.52787442,0.34846269,0.58030703,0.34061277,0.12971913,0.23097141,0.13484834,0.14458853,0.24323474,0.0439408,0.10322651,0.04963353,0.32589072,0.18016393,0.24492569,0.32513922,0.03289805,0.13461528,0.20001873,0.37861484,0.25087537,0.08725209,0.04351459,0.12270383,0.01459417,0.02252853,0.07784566,0.04415499,0.23298847,0.21171306,0.21796042,0.0437269,0.07953591,0.23099181,0.12645841,0.06445001,0.28687853,0.17720296,0.13918041,0.3949989,0.07424159,0.05903232
0.02,0.19079144,0.66786356,0.05450421,0.07531831,0.0807969,0.15973219,0.24135757,0.06319282,0.03268324,0.0130284,0.04903634,0.10171134,0.02519895,0.01137475,0.04113298,0.19083576,0.0131569,1.85502051,0.18980909,0.2267008,0.0551194,0.02075844,0.27484965,0.22524893,0.02505761,0.04270781,0.04459552,0.09563052,0.03515028,0.08726886,0.21813036,0.45565964,0.11604329,0.22236745,0.22777382,0.08777259,0.09109716,0.13789963,0.17982438,0.08549753,0.13745384,1.0796385,0.34538267,0.15805734,0.17414818,0.20191937,0.2946976,0.53289221,0.35096938,0.58553015,0.3469707,0.13143797,0.24484049,0.13541019,0.14645827,0.24374417,0.04467703,0.1035119,0.04982496,0.33153886,0.18301052,0.26589674,0.33229641,0.03326955,0.13682909,0.20459075,0.38498341,0.30240271,0.09147731,0.04554821,0.13026891,0.01510816,0.02266302,0.08412459,0.04657332,0.25209467,0.21406406,0.22023463,0.04389874,0.08079105,0.232021,0.1264526,0.06491882,0.29467209,0.17851423,0.1422026,0.40731367,0.07471437,0.05948498
0.022,0.19506257,0.69786546,0.05452256,0.07547521,0.08114384,0.15978457,0.24179818,0.06330754,0.03251337,0.01297057,0.04893061,0.10219858,0.02513024,0.011389,0.04121066,0.1908419,0.01320493,1.92611045,0.18720323,0.23367502,0.05620491,0.02078314,0.28915455,0.22643756,0.02506736,0.04297943,0.04452365,0.09551462,0.03605363,0.08733507,0.22517625,0.48412409,0.11967443,0.24297263,0.23221531,0.08929682,0.09498132,0.14652226,0.17271231,0.08557668,0.14034367,1.14071449,0.34938104,0.15822684,0.17432618,0.20901101,0.30096097,0.54243529,0.35652075,0.58955984,0.34584208,0.1315269,0.24559548,0.13507582,0.14712888,0.24507261,0.04459067,0.10395689,0.05003312,0.3324067,0.18298457,0.28491671,0.33485495,0.03334007,0.13715554,0.20508844,0.38849967,0.35845917,0.09242965,0.04517146,0.13197961,0.01517701,0.02307152,0.08714233,0.04750457,0.25848925,0.21412605,0.21935342,0.04396918,0.08167109,0.23418655,0.12666337,0.06633629,0.29800012,0.17869419,0.14353821,0.40091049,0.0750324,0.05973237
0.025,0.20145441,0.75383815,0.05383633,0.07563472,0.08164364,0.15987178,0.24264101,0.06370752,0.03236193,0.01312174,0.04920358,0.10277978,0.02597498,0.0114144,0.041277,0.19458011,0.01327375,2.05558503,0.1924198,0.2369669,0.05696245,0.02086461,0.30009884,0.22979508,0.02516394,0.04352598,0.04432046,0.09582612,0.03507773,0.09069251,0.23586685,0.53099791,0.12444003,0.2712594,0.24109378,0.09255724,0.09683436,0.15125361,0.17898113,0.08580792,0.14391261,1.25765743,0.34984591,0.16044321,0.17352525,0.21255885,0.30806003,0.54582563,0.35925042,0.60366262,0.34501336,0.13176628,0.24921428,0.13636854,0.14786188,0.24427381,0.04471352,0.10389857,0.05050063,0.33687273,0.18986763,0.29003944,0.34171577,0.0336824,0.13812404,0.20698793,0.39559455,0.3568562,0.09641638,0.04831125,0.13279056,0.01540852,0.02355823,0.09806412,0.04821147,0.27625851,0.21289267,0.21844927,0.04403579,0.08185829,0.23691263,0.12690015,0.06958809,0.30098146,0.17927033,0.1490878,0.42946562,0.07519685,0.05945025
0.029,0.21000295,0.79742797,0.05530435,0.07595257,0.08192593,0.16001824,0.24402617,0.06397515,0.03298544,0.01344016,0.05000778,0.10343537,0.02769155,0.01146722,0.04124139,0.19770603,0.01347547,2.13241184,0.20348175,0.22893307,0.05968468,0.02098354,0.31996142,0.23351782,0.02571916,0.04453374,0.04503478,0.09745345,0.03737916,0.09373124,0.26008516,0.59606161,0.134198,0.28647243,0.26786864,0.09466945,0.11642102,0.17623392,0.18481184,0.08605341,0.1373391,1.38124629,0.35290266,0.17104145,0.17492386,0.20782953,0.3041268,0.53805715,0.35085768,0.60095571,0.34682335,0.13137304,0.26583377,0.13802355,0.15038167,0.25040831,0.04572636,0.10355268,0.05077183,0.35272454,0.19825864,0.32358049,0.34489319,0.03401619,0.13849933,0.2141548,0.40226291,0.49354203,0.09564554,0.04841335,0.14220501,0.01594333,0.02363809,0.11071899,0.05229017,0.29855226,0.21442343,0.22253556,0.04437641,0.08424253,0.23769351,0.12754337,0.06736001,0.32076543,0.17908046,0.15022166,0.42151647,0.07501089,0.06092048
0.03,0.21072956,0.78561009,0.05652543,0.07611267,0.08221552,0.16005223,0.24436734,0.06437472,0.03307459,0.01363719,0.05022074,0.10340228,0.0285794,0.01148164,0.04132434,0.19937796,0.01350609,2.08816817,0.20809948,0.23088755,0.06116524,0.02098172,0.32177448,0.23335437,0.02580088,0.04464679,0.0455428,0.09804696,0.03807087,0.0938088,0.27342572,0.57881445,0.13003205,0.31802865,0.27705295,0.09713485,0.11854425,0.18218051,0.19479102,0.08614428,0.13904221,1.40261754,0.35237743,0.1700552,0.17386865,0.21632785,0.30735188,0.53495038,0.34877164,0.59743074,0.3499622,0.13121955,0.26635626,0.13788653,0.15118937,0.25260246,0.04589976,0.10347282,0.05150868,0.35731771,0.19826466,0.30700533,0.34809668,0.03414405,0.13856724,0.2138602,0.40333709,0.48057854,0.09907474,0.04671061,0.14324489,0.01603599,0.02361289,0.11529344,0.0563573,0.30732671,0.21410455,0.22361163,0.04436168,0.08521952,0.24260738,0.12747599,0.06808824,0.32940128,0.17830931,0.14981195,0.41366209,0.0751028,0.06104292
0.032,0.21600343,0.79658901,0.05857159,0.07643569,0.08280257,0.16012068,0.24522521,0.06490446,0.0326959,0.01384323,0.05061514,0.10323817,0.03057474,0.01150236,0.0415669,0.19935239,0.01359849,2.09516146,0.21532756,0.2307168,0.06211909,0.0211103,0.35408568,0.23264089,0.02568842,0.04483498,0.04612765,0.10213304,0.03877589,0.09908968,0.29012762,0.62436582,0.12350018,0.36659635,0.28584784,0.1034603,0.11812609,0.20194245,0.2218563,0.08624053,0.1385907,1.44332361,0.35845506,0.16863068,0.17400387,0.22235473,0.30965296,0.54107574,0.35311975,0.58668851,0.36293716,0.13152206,0.25401925,0.13638735,0.15163826,0.25327301,0.04644924,0.10374924,0.05151144,0.35659774,0.19696289,0.33343141,0.35964295,0.03468422,0.13977478,0.21675205,0.41194254,0.53742159,0.10252591,0.04916224,0.15524506,0.01631032,0.0236447,0.12592868,0.06290348,0.32449877,0.21557359,0.22616967,0.04431734,0.08688502,0.24417356,0.12767307,0.07157326,0.33115897,0.1774423,0.15092676,0.4134059,0.07510319,0.0607297
0.035,0.22514138,0.79509767,0.06375146,0.0769094,0.08329634,0.16016331,0.24622219,0.06495397,0.03331019,0.01380776,0.0512373,0.10239137,0.02881673,0.01153194,0.04220042,0.19975962,0.01385269,2.03791391,0.21370464,0.23448908,0.0604997,0.02126176,0.31331352,0.23415305,0.02633935,0.04633839,0.04921296,0.10529444,0.03831523,0.10354469,0.34754892,0.72516185,0.14814436,0.46222095,0.30417295,0.11119917,0.11233094,0.27609329,0.24621977,0.08620685,0.13709867,1.45189395,0.36022606,0.17305351,0.17493634,0.22752216,0.30130729,0.5472849,0.35676046,0.58826197,0.3510797,0.13248943,0.26795162,0.13780124,0.15155238,0.25831669,0.04745003,0.10455035,0.0516673,0.36235945,0.19971293,0.4143062,0.37558697,0.03562117,0.14227282,0.22208281,0.43836136,0.67906691,0.11074511,0.05581328,0.18844128,0.01681507,0.02391864,0.13477693,0.06739886,0.35116242,0.21717114,0.22651197,0.04414952,0.08573169,0.24794782,0.1277202,0.07540908,0.33305472,0.18035455,0.15636434,0.45923981,0.07676172,0.05996262
0.036,0.22797217,0.81306918,0.06391991,0.07705774,0.08345682,0.16017816,0.24643646,0.06514846,0.03362509,0.01381345,0.05128422,0.10212105,0.02815645,0.01153899,0.0424647,0.19724777,0.01397049,2.10807168,0.21035585,0.23768235,0.05891226,0.0213421,0.31746383,0.23695684,0.02689559,0.04679089,0.04993996,0.10636371,0.04014746,0.10543674,0.36232492,0.72923097,0.15678716,0.50921483,0.31561437,0.12033859,0.11154654,0.28113141,0.25308401,0.08617849,0.13771594,1.45550525,0.35967506,0.17347544,0.17544363,0.22443814,0.29904401,0.54265148,0.35788573,0.590631,0.3480647,0.13300798,0.27211031,0.13833433,0.15190027,0.26116278,0.04709375,0.10518945,0.05168881,0.36674054,0.19536232,0.43830533,0.38486145,0.03638587,0.14262019,0.22104402,0.43807002,0.65289497,0.11611821,0.05904463,0.19070244,0.01717073,0.02433686,0.1385266,0.07175178,0.35930463,0.21890105,0.22415553,0.04408176,0.0865213,0.2488698,0.12813817,0.07854406,0.33855239,0.18096298,0.15802294,0.46512256,0.07781324,0.05935143
0.04,0.24057599,0.85810646,0.06744712,0.07740895,0.0844158,0.16022073,0.24835029,0.06613169,0.0347128,0.01473347,0.05146773,0.10426006,0.03123309,0.01159713,0.04272836,0.19319722,0.01450673,2.27204266,0.21030215,0.24054575,0.06389104,0.02160675,0.37751031,0.26220113,0.02755419,0.04751783,0.05368358,0.11376101,0.05046961,0.11379881,0.3406126,0.71943815,0.15920329,0.61625928,0.34861168,0.14645341,0.12139153,0.28987592,0.33841669,0.08622202,0.14061498,1.43329716,0.37519609,0.17010493,0.17589099,0.27442956,0.30033994,0.5403038,0.37356696,0.58311319,0.36467731,0.13499572,0.27691272,0.13775707,0.16424105,0.26767896,0.04834414,0.10438579,0.05278401,0.3607719,0.20618794,0.48862419,0.4192018,0.03987341,0.14297888,0.22932344,0.43698707,0.78494453,0.13648747,0.06055434,0.18795843,0.01887647,0.02597095,0.15795248,0.0828863,0.45774562,0.22716299,0.22359697,0.04418541,0.09386674,0.25249784,0.12854597,0.1153655,0.35227015,0.18114435,0.15830832,0.45755107,0.07965564,0.06309127
0.042,0.24493174,0.86624545,0.06925469,0.07751541,0.08585161,0.16025859,0.24923228,0.06719723,0.03500591,0.01517975,0.05071705,0.1060575,0.03129822,0.01161615,0.0424841,0.19520667,0.01478865,2.3180816,0.2069354,0.24237832,0.06300562,0.02196607,0.35770489,0.27383222,0.0271574,0.04906249,0.05754723,0.11603587,0.05406661,0.11816773,0.30630397,0.79167712,0.1620207,0.5851215,0.40324123,0.16074265,0.12188798,0.27019457,0.38539785,0.08650579,0.1404427,1.35247847,0.36945234,0.16720531,0.17738886,0.28431838,0.30008622,0.54644923,0.37499525,0.60253799,0.36680206,0.13738263,0.26404866,0.13828296,0.16100775,0.27391761,0.04914608,0.10540206,0.05290007,0.38622544,0.20822803,0.47716406,0.42512264,0.04150282,0.14433015,0.24138231,0.45557391,0.84502037,0.1385725,0.07037975,0.18772828,0.01960267,0.02637908,0.16399911,0.08783136,0.52565214,0.23217747,0.22367674,0.0439905,0.09416672,0.25849533,0.12755556,0.12999836,0.37510252,0.18059703,0.16267969,0.45940732,0.08089456,0.06500461
0.044,0.24667601,0.83605734,0.07278096,0.07693049,0.08621539,0.16039825,0.24920575,0.06817256,0.03513085,0.01532096,0.05037731,0.10785535,0.03097709,0.01165862,0.04244818,0.19984845,0.01471163,2.21053466,0.21435876,0.25248667,0.06176188,0.02211054,0.34837604,0.28455864,0.02644235,0.05015611,0.05766263,0.11176601,0.05292467,0.11594543,0.30309422,0.85353955,0.15305002,0.50816179,0.41212498,0.18059861,0.12908392,0.25619131,0.44553182,0.08685357,0.13979112,1.31130856,0.35615882,0.16348572,0.17819891,0.29390945,0.31743039,0.54878784,0.38974078,0.61747277,0.36448097,0.13890558,0.25352497,0.14241252,0.15745746,0.28542872,0.04906452,0.10566424,0.05303844,0.42343647,0.21385796,0.45870031,0.42305502,0.04359127,0.14956168,0.23951821,0.47486724,0.8309511,0.14866132,0.07656936,0.2036185,0.02004996,0.02626122,0.16843551,0.10712315,0.59383258,0.23502188,0.2228081,0.04477083,0.09639666,0.26323363,0.12749415,0.1197964,0.40947184,0.18035572,0.16406082,0.44684153,0.0821136,0.06685382
0.045,0.24786634,0.83806959,0.07330862,0.07661919,0.08553812,0.16051762,0.24926345,0.06864098,0.03534017,0.01530245,0.05044385,0.10738387,0.03110624,0.01170322,0.04245515,0.19999237,0.01486532,2.23174274,0.21838207,0.25539394,0.06062722,0.02216248,0.33844519,0.28965202,0.0261396,0.05039699,0.05766016,0.11222822,0.05237944,0.12565492,0.30758336,0.82993058,0.15577209,0.46404716,0.38847101,0.19600602,0.13444999,0.27389274,0.46602583,0.0870862,0.14005232,1.30674998,0.35490576,0.16147675,0.17848723,0.29409548,0.32501492,0.54323807,0.4013719,0.61180209,0.3615703,0.13915343,0.26302563,0.14506552,0.15656805,0.28812701,0.04853634,0.10549249,0.05341901,0.4338398,0.21493659,0.45328859,0.41978442,0.04480592,0.15243304,0.24533169,0.47287211,0.83486431,0.1532158,0.07853367,0.2076742,0.02007828,0.02617636,0.17080942,0.11600904,0.6283379,0.23445519,0.2249984,0.04501258,0.09817433,0.26714792,0.12814881,0.11116055,0.41569097,0.18156109,0.16500363,0.4506552,0.08285746,0.06719393
0.046,0.24990344,0.84505189,0.07390283,0.07619757,0.08522473,0.1606245,0.24965619,0.06908141,0.03564034,0.01531827,0.05047647,0.10710031,0.03053805,0.01176264,0.04256287,0.20121998,0.01508231,2.26847176,0.21955407,0.25644047,0.05941968,0.02203782,0.35554913,0.29274228,0.02605669,0.05087401,0.0578094,0.11954646,0.05193751,0.13358655,0.31507422,0.83093748,0.16247899,0.41701901,0.36255228,0.2107668,0.13854814,0.28418453,0.48502519,0.0873824,0.14071783,1.30850296,0.35933754,0.15924788,0.17868341,0.29762913,0.32843813,0.54111741,0.41130304,0.60257068,0.3631888,0.13920179,0.27726937,0.14785655,0.15527876,0.2894793,0.04766651,0.10487918,0.05443841,0.44428527,0.21740151,0.45418471,0.42131862,0.04634166,0.15473387,0.25065072,0.46574524,0.79896251,0.15579852,0.08466184,0.20798504,0.0199065,0.02662489,0.18492515,0.12362528,0.67831548,0.23318571,0.22586728,0.04496747,0.09941297,0.27185516,0.12896046,0.10580241,0.41637912,0.18325446,0.16679984,0.46255044,0.08403232,0.067874
0.048,0.25664032,0.86045867,0.07654552,0.07464232,0.08605709,0.16072062,0.25148935,0.06953564,0.03609604,0.01511223,0.05121022,0.10833673,0.03131328,0.01188132,0.04328472,0.20269465,0.01539551,2.26502365,0.21687231,0.24918212,0.05778705,0.02216259,0.37937687,0.29784233,0.02618188,0.05172848,0.06180851,0.1332283,0.05306947,0.14308394,0.33401397,0.95944811,0.18615236,0.44482081,0.33045296,0.23458441,0.14637971,0.26866205,0.50706725,0.08769209,0.1402333,1.34612431,0.37383698,0.15786867,0.17889874,0.33089684,0.33874911,0.54973675,0.42825483,0.59310532,0.37272194,0.13801886,0.30108529,0.15206091,0.15661464,0.29032555,0.04572365,0.10411947,0.05708459,0.45044903,0.22611948,0.44655616,0.4343047,0.05048402,0.15627487,0.24989278,0.45084872,0.76180237,0.16553579,0.09351257,0.21406598,0.01965497,0.0274165,0.21028136,0.12744443,0.79335442,0.23318307,0.22931597,0.04499635,0.10132974,0.28888854,0.12956575,0.10326651,0.39226716,0.18660692,0.16689494,0.49234304,0.08642524,0.06813525
0.05,0.26341198,0.89174821,0.07780881,0.07568545,0.08961861,0.16077763,0.25379368,0.07024543,0.03603576,0.0146903,0.05102589,0.1091254,0.03310705,0.01192971,0.04367052,0.19780619,0.01611279,2.31995318,0.20639546,0.24953797,0.05635476,0.02300629,0.37244237,0.30113055,0.0262322,0.05197191,0.06888403,0.13549646,0.06089651,0.14041199,0.36477671,1.04628198,0.21496987,0.45830395,0.35088449,0.23387957,0.14901743,0.26098413,0.52502015,0.08798296,0.13991766,1.38243981,0.37915508,0.16341564,0.17923876,0.35069427,0.33949422,0.54703245,0.44426321,0.59765071,0.384305,0.13608271,0.32095159,0.15553759,0.16300568,0.28921042,0.04712294,0.10610989,0.05831457,0.44941148,0.22553572,0.45018526,0.42300545,0.05235421,0.15778412,0.24041253,0.46685602,0.77827396,0.17732816,0.09263626,0.22487192,0.01964575,0.02876173,0.21335008,0.12626862,0.88192957,0.24220377,0.23796995,0.04505087,0.10350393,0.29850174,0.12939104,0.10408365,0.41599034,0.18769037,0.17128238,0.5029789,0.08733912,0.0664517
0.055,0.27875041,0.99002447,0.07848472,0.07844101,0.09690674,0.16171664,0.25800605,0.06951161,0.03549176,0.01423439,0.05351765,0.11444443,0.03031054,0.01221652,0.04453548,0.19260191,0.01705887,2.66881919,0.23005942,0.26405184,0.05824626,0.02358917,0.37505419,0.33060497,0.02655786,0.05746313,0.07811841,0.14053318,0.08139476,0.14847919,0.49765032,1.10972216,0.23637927,0.56093845,0.33260357,0.19024445,0.17450219,0.27690628,0.49991882,0.08897627,0.14711704,1.41286017,0.41049966,0.17092346,0.17783854,0.45310604,0.39212351,0.54726206,0.45992982,0.61147026,0.41848818,0.13925139,0.31224512,0.15697046,0.1687702,0.28782699,0.05517709,0.11306131,0.06565888,0.42844428,0.25561642,0.59767278,0.40379084,0.05158414,0.16045231,0.26993591,0.57414433,0.76393043,0.16676442,0.081303,0.27864755,0.02127705,0.03197639,0.20649852,0.13084662,0.84160066,0.25301009,0.24419651,0.04873138,0.10715267,0.29605231,0.12808177,0.10166932,0.38800203,0.19122266,0.17679952,0.48934632,0.08942539,0.06397233
